domain,reachable,tls_versions,preferred_cipher,cert_subject_cn,cert_issuer,sig_alg,key_type,key_size,valid_from,valid_to,validity_days,ocsp_stapling,errors
arc2020.eu,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,www.arc2020.eu,E7,ecdsa-with-SHA384,ECDSA,secp256r1,11/2/2025,1/31/2026,90,unknown,
framecafe.co.uk,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,framecafe.co.uk,R12,sha256WithRSAEncryption,RSA,2048,11/16/2025,2/14/2026,90,unknown,
starcoe.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.starcoe.com,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption,RSA,2048,2/20/2025,3/24/2026,397,unknown,
semyana.club,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
96phn.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,96phn.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/6/2025,1/4/2026,90,unknown,
ssinet.com.br,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,ssinet.com.br,R12,sha256WithRSAEncryption,RSA,2048,10/8/2025,1/6/2026,90,unknown,
amboanthos.nl,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,*.yellow.msgc.ac,Sectigo RSA Domain Validation Secure Server CA,sha256WithRSAEncryption,RSA,2048,9/11/2024,10/5/2025,389,unknown,
nasljerseys.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,www.nasljerseys.com,R12,sha256WithRSAEncryption,RSA,2048,9/29/2025,12/28/2025,90,unknown,
meganimport.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,meganimport.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/1/2025,1/30/2026,90,unknown,
ersho-distribution.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,ersho-distribution.com,R12,sha256WithRSAEncryption,RSA,2048,10/21/2025,1/19/2026,90,unknown,
cityofdoral.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,cityofdoral.com,R12,sha256WithRSAEncryption,RSA,2048,10/7/2025,1/5/2026,90,unknown,
dangelomotori.it,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.dangelomotori.it,R12,sha256WithRSAEncryption,RSA,2048,11/19/2025,2/17/2026,90,unknown,
