domain,reachable,tls_versions,preferred_cipher,cert_subject_cn,cert_issuer,sig_alg,key_type,key_size,valid_from,valid_to,validity_days,ocsp_stapling,errors
venezia.pl,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,venezia.pl,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/22/2025,2/20/2026,90,unknown,
carrier.io,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,carrier.io,Amazon RSA 2048 M02,sha256WithRSAEncryption,RSA,2048,1/7/2025,2/5/2026,394,unknown,
notabul.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,notabul.com,Amazon RSA 2048 M02,sha256WithRSAEncryption,RSA,2048,4/6/2025,5/5/2026,394,unknown,
studylight.org,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,studylight.org,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,9/30/2025,12/29/2025,90,unknown,
holicopterdrives.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,*.holicopterdrives.com,Amazon RSA 2048 M01,sha256WithRSAEncryption,RSA,2048,9/10/2025,10/9/2026,394,unknown,
subnet05.ru,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,911pro.ru,R12,sha256WithRSAEncryption,RSA,2048,11/18/2025,2/16/2026,90,unknown,
provideoshrot.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,*.provideoshrot.com,Sectigo RSA Domain Validation Secure Server CA,sha256WithRSAEncryption,RSA,2048,5/27/2025,6/26/2026,395,unknown,
phenix-scans.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,phenix-scans.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/12/2025,2/10/2026,90,unknown,
saint.gr,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,saint.gr,R13,sha256WithRSAEncryption,RSA,2048,10/14/2025,1/12/2026,90,unknown,
sendibm5.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,sendibm5.com,R13,sha256WithRSAEncryption,RSA,2048,9/24/2025,12/23/2025,90,unknown,
chiefexecutive.net,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,chiefexecutive.net,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/10/2025,1/8/2026,90,unknown,
tudgiigxgo.net,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
dyuyo.com,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
grupouma.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,grupouma.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/16/2025,1/14/2026,90,unknown,
anime-suba.org,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,anime-suba.org,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/19/2025,1/17/2026,90,unknown,
yhdm6.top,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,yhdm6.top,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/26/2025,1/24/2026,90,unknown,
bankofbaroda.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.Bankofbaroda.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption,RSA,2048,3/28/2025,2/7/2026,316,unknown,
asana.plus,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,asana.plus,Amazon RSA 2048 M03,sha256WithRSAEncryption,RSA,2048,1/4/2025,2/1/2026,393,unknown,
powerpool.cloud,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
moods.ir,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,moods.ir,R12,sha256WithRSAEncryption,RSA,2048,11/13/2025,2/11/2026,90,unknown,
zoomcorp.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,zoomcorp.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/23/2025,1/21/2026,90,unknown,
minecraft-mcworld.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,www.minecraft-mcworld.com,R12,sha256WithRSAEncryption,RSA,2048,11/13/2025,2/11/2026,90,unknown,
smcdn.pl,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,webproxy.hostujemy.to,webproxy.hostujemy.to,sha256WithRSAEncryption,RSA,4096,9/15/2020,5/25/2034,5000,unknown,
worktribe.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.worktribe.com,GeoTrust TLS RSA CA G1,sha256WithRSAEncryption,RSA,2048,12/10/2024,1/9/2026,395,unknown,
capitalautoauction.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,capitalautoauction.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/14/2025,1/12/2026,90,unknown,
epson-europe.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,imperva.com,GlobalSign Atlas R3 DV TLS CA 2025 Q3,sha256WithRSAEncryption,RSA,2048,9/25/2025,3/24/2026,180,unknown,
whoyou.cc,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,www.whoyou.cc,Encryption Everywhere DV TLS CA - G2,sha256WithRSAEncryption,RSA,2048,2/25/2025,2/25/2026,365,unknown,
tracead.com,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,tracead.com,Amazon RSA 2048 M03,sha256WithRSAEncryption,RSA,2048,4/4/2025,5/4/2026,395,unknown,
trdiziizle.vip,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,trdiziizle.vip,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/10/2025,2/8/2026,90,unknown,
math.ca,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
versace.com,FALSE,,,,,,,,,,,,timed out
azores.gov.pt,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,azores.gov.pt,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/24/2025,1/22/2026,90,unknown,
compel.ru,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,www.compel.ru,R13,sha256WithRSAEncryption,RSA,4096,11/8/2025,2/6/2026,90,unknown,
annatel.co.il,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,annatel.co.il,R12,sha256WithRSAEncryption,RSA,2048,9/30/2025,12/29/2025,90,unknown,
aaccc.gov.in,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,aaccc.gov.in,R13,sha256WithRSAEncryption,RSA,2048,10/30/2025,1/28/2026,90,unknown,
pesrp.edu.pk,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.pesrp.edu.pk,RapidSSL TLS RSA CA G1,sha256WithRSAEncryption,RSA,2048,1/13/2025,1/15/2026,367,unknown,
audiobooksreview.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,audiobooksreview.com,Amazon RSA 2048 M04,sha256WithRSAEncryption,RSA,2048,9/24/2025,10/23/2026,394,unknown,
joy-pepsico.eu,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,joy-pepsico.eu,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption,RSA,2048,3/24/2025,3/23/2026,364,unknown,
videolike.xyz,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
host.com.pk,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,autodiscover.host.com.pk,R12,sha256WithRSAEncryption,RSA,2048,11/12/2025,2/10/2026,90,unknown,
de-baystars.jp,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,localhost.localdomain,localhost.localdomain,sha256WithRSAEncryption,RSA,2048,4/17/2020,4/17/2021,365,unknown,
skandia.se,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,www.skandia.se,DigiCert Global G3 TLS ECC SHA384 2020 CA1,ecdsa-with-SHA384,ECDSA,secp256r1,7/27/2025,7/28/2026,366,unknown,
yumping.com,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,yumping.com,R13,sha256WithRSAEncryption,RSA,2048,9/16/2025,12/15/2025,90,unknown,
euroset.ru,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.mobile-api.ru,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption,RSA,2048,1/13/2025,2/14/2026,397,unknown,
stf.jus.br,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,*.stf.jus.br,GlobalSign GCC R6 AlphaSSL CA 2025,sha256WithRSAEncryption,RSA,2048,9/3/2025,10/5/2026,397,unknown,
hs-worms.de,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,www.hs-worms.de,GEANT OV RSA CA 4,sha384WithRSAEncryption,RSA,4096,12/12/2024,12/12/2025,365,unknown,
legionisci.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,www.legionisci.com,R12,sha256WithRSAEncryption,RSA,2048,10/6/2025,1/4/2026,90,unknown,
booktoki468.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
east.ru,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,east.ru,R12,sha256WithRSAEncryption,RSA,2048,10/13/2025,1/11/2026,90,unknown,
caster.fm,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,caster.fm,E7,ecdsa-with-SHA384,ECDSA,secp256r1,10/12/2025,1/10/2026,90,unknown,
andara88gate.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
upct.es,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.upct.es,GEANT TLS RSA 1,sha256WithRSAEncryption,RSA,2048,5/15/2025,5/15/2026,365,unknown,
w4life.online,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,w4life.online,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/1/2025,12/30/2025,90,unknown,
movbor.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,movbor.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/13/2025,1/11/2026,90,unknown,
qhsuac.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,qhsuac.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/3/2025,1/1/2026,90,unknown,
pixolv.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,pixolv.com,R12,sha256WithRSAEncryption,RSA,2048,10/10/2025,1/8/2026,90,unknown,
over.net,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,over.net,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/16/2025,1/14/2026,90,unknown,
simpthots.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
download-hive.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,download-hive.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/30/2025,1/28/2026,90,unknown,
ceri123w1ns503.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
showgo123.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,showgo123.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,9/27/2025,12/26/2025,90,unknown,
ok36518.vip,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ok36546.vip,Amazon RSA 2048 M01,sha256WithRSAEncryption,RSA,2048,11/18/2025,12/17/2026,394,unknown,
clp.com.hk,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,www.clp.com.hk,DigiCert Global G3 TLS ECC SHA384 2020 CA1,ecdsa-with-SHA384,ECDSA,secp256r1,6/29/2025,6/30/2026,366,unknown,
ayk.gov.tr,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.ayk.gov.tr,Sectigo Public Server Authentication CA DV R36,sha256WithRSAEncryption,RSA,2048,9/1/2025,9/1/2026,365,unknown,
towngastelecom.com,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,towngastelecom.com,Sectigo Public Server Authentication CA EV R36,sha256WithRSAEncryption,RSA,2048,9/11/2025,10/11/2026,395,unknown,
lmr.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,lmr.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption,RSA,2048,7/18/2025,7/17/2026,364,unknown,
madrasthemes.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,madrasthemes.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/9/2025,1/7/2026,90,unknown,
hardware-wholesale.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,hardware-wholesale.com,E8,ecdsa-with-SHA384,ECDSA,secp256r1,10/19/2025,1/17/2026,90,unknown,
cheapflights.com.au,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,cheapflights.com.au,R12,sha256WithRSAEncryption,RSA,2048,11/2/2025,1/31/2026,90,unknown,
worldofspectrum.org,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,worldofspectrum.org,R12,sha256WithRSAEncryption,RSA,2048,11/21/2025,2/19/2026,90,unknown,
agu.edu.vn,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.agu.edu.vn,GlobalSign GCC R6 AlphaSSL CA 2023,sha256WithRSAEncryption,RSA,2048,6/4/2025,7/6/2026,397,unknown,
acquisition.gov,FALSE,,,,,,,,,,,,timed out
albacom.net,FALSE,,,,,,,,,,,,timed out
cursa.app,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,cursa.app,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/5/2025,1/3/2026,90,unknown,
fotolia.net,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
ttsfree.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,ttsfree.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/22/2025,1/20/2026,90,unknown,
bike-ocasion.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,bike-ocasion.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/6/2025,1/4/2026,90,unknown,
parone.io,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,parone.io,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/10/2025,1/8/2026,90,unknown,
modelviewer.lol,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,modelviewer.lol,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/17/2025,1/15/2026,90,unknown,
cleansizecharts.net,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,cleansizecharts.net,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/27/2025,1/25/2026,90,unknown,
bridgewater.edu,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,*.bridgewater.edu,Amazon RSA 2048 M01,sha256WithRSAEncryption,RSA,2048,11/23/2025,12/22/2026,394,unknown,
spacewb.tech,FALSE,,,,,,,,,,,,[SSL: TLSV1_ALERT_ACCESS_DENIED] tlsv1 alert access denied (_ssl.c:1010)
big1cloud.net,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
mediaoutcast.com,TRUE,TLSv1.2,ECDHE-RSA-CHACHA20-POLY1305,mediaoutcast.com,R13,sha256WithRSAEncryption,RSA,2048,10/27/2025,1/25/2026,90,unknown,
sportwin365.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
ullu.app,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,ullu.app,Amazon RSA 2048 M04,sha256WithRSAEncryption,RSA,2048,8/29/2025,9/27/2026,394,unknown,
sgnetway.net,FALSE,,,,,,,,,,,,[WinError 10054] An existing connection was forcibly closed by the remote host
iochile.cl,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,iochile.cl,R12,sha256WithRSAEncryption,RSA,2048,10/4/2025,1/2/2026,90,unknown,
citrea.xyz,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,citrea.xyz,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/19/2025,1/17/2026,90,unknown,
namazvakitleri.com.tr,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,namazvakitleri.com.tr,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/1/2025,12/30/2025,90,unknown,
organiccrap.com,FALSE,,,,,,,,,,,,[SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:1010)
veracruz.gob.mx,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,veracruz.gob.mx,GeoTrust TLS RSA CA G1,sha256WithRSAEncryption,RSA,2048,12/23/2024,1/15/2026,388,unknown,
jiotv.be,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,jiotv.be,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/24/2025,1/22/2026,90,unknown,
solvemate.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
efl.fr,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,*.efl.fr,RapidSSL TLS RSA CA G1,sha256WithRSAEncryption,RSA,2048,9/16/2025,10/16/2026,395,unknown,
yesplis.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,yesplis.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/20/2025,2/18/2026,90,unknown,
sp1-nova.ru,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,sp1-nova.ru,R12,sha256WithRSAEncryption,RSA,2048,10/26/2025,1/24/2026,90,unknown,
mirovinsko.hr,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,mirovinsko.hr,GEANT OV RSA CA 4,sha384WithRSAEncryption,RSA,2048,12/12/2024,12/12/2025,365,unknown,
webafrica.co.za,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,webafrica.co.za,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/20/2025,2/18/2026,90,unknown,
subhvastra.in,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,subhvastra.in,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/7/2025,1/5/2026,90,unknown,
cleanup.jp,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,*.cleanup.jp,Cybertrust Japan SureServer CA G4,sha256WithRSAEncryption,RSA,2048,8/7/2025,8/31/2026,389,unknown,
simplehost.com.br,TRUE,TLSv1.3,TLS_CHACHA20_POLY1305_SHA256,simplehost.com.br,R13,sha256WithRSAEncryption,RSA,2048,10/5/2025,1/3/2026,90,unknown,
globaliraq.net,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,globaliraq.net,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,9/30/2025,12/29/2025,90,unknown,
kaizty.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
domonet.jp,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,domonet.jp,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/20/2025,1/18/2026,90,unknown,
global.brother,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,global.brother,DigiCert TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption,RSA,2048,6/24/2025,4/14/2026,294,unknown,
receno.com,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,*.sixcore-server.jp,CloudSecure RSA Domain Validation Secure Server CA 3,sha256WithRSAEncryption,RSA,2048,10/6/2025,11/6/2026,396,unknown,
haierinfo.com,FALSE,,,,,,,,,,,,[WinError 10061] No connection could be made because the target machine actively refused it
adesso.de,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,*.adesso.de,GeoTrust TLS RSA CA G1,sha256WithRSAEncryption,RSA,2048,9/10/2025,10/7/2026,392,unknown,
tlu.ee,FALSE,,,,,,,,,,,,timed out
zqbmyr.com,FALSE,,,,,,,,,,,,[WinError 10061] No connection could be made because the target machine actively refused it
sexart.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
lapp.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.lapp.com,EUNETIC RSA Domain Validation Secure Server CA 3,sha256WithRSAEncryption,RSA,4096,8/7/2025,9/7/2026,396,unknown,
zerogameth.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,zerogameth.com,WR3,sha256WithRSAEncryption,RSA,2048,11/17/2025,2/15/2026,90,unknown,
safewebservices.com,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
leiloesalbino.com.br,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,*.leiloesalbino.com.br,GlobalSign GCC R6 AlphaSSL CA 2023,sha256WithRSAEncryption,RSA,4096,5/27/2024,6/28/2025,397,unknown,
022022.net,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.022022.net,DigiCert TLS Hybrid ECC SHA384 2020 CA1,ecdsa-with-SHA384,ECDSA,secp256r1,3/3/2025,3/6/2026,368,unknown,
onepay.news,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,onepay.news,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/6/2025,1/4/2026,90,unknown,
join-eby.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
bsdgd.com,FALSE,,,,,,,,,,,,[WinError 10061] No connection could be made because the target machine actively refused it
jidapower.com,FALSE,,,,,,,,,,,,[WinError 10061] No connection could be made because the target machine actively refused it
7amh5.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
imagedeliveries.com,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
brokenlinkcheck.com,TRUE,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,brokenlinkcheck.com,Sectigo Public Server Authentication CA DV R36,sha256WithRSAEncryption,RSA,2048,10/21/2025,11/21/2026,396,unknown,
easyspin.org,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,mail.easyspin.org,R13,sha256WithRSAEncryption,RSA,2048,10/19/2025,1/17/2026,90,unknown,
quad.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,quad.com,E7,ecdsa-with-SHA384,ECDSA,secp256r1,10/14/2025,1/12/2026,90,unknown,
science.gc.ca,FALSE,,,,,,,,,,,,_ssl.c:993: The handshake operation timed out
renata-ltd.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,mail.renata-ltd.com,R13,sha256WithRSAEncryption,RSA,2048,11/6/2025,2/4/2026,90,unknown,
tv24.lt,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,kava.ee,R13,sha256WithRSAEncryption,RSA,2048,10/10/2025,1/8/2026,90,unknown,
lrmer.com,FALSE,,,,,,,,,,,,timed out
bikable.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,bikable.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/7/2025,1/5/2026,90,unknown,
chomered.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,chomered.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/8/2025,1/6/2026,90,unknown,
4d2u.co,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
jmta.org.cn,FALSE,,,,,,,,,,,,[WinError 10061] No connection could be made because the target machine actively refused it
opposite-fashion.com,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,www.opposite-fashion.com,R12,sha256WithRSAEncryption,RSA,2048,11/6/2025,2/4/2026,90,unknown,
saiquaner.com,FALSE,,,,,,,,,,,,[WinError 10061] No connection could be made because the target machine actively refused it
zqonline.com.cn,FALSE,,,,,,,,,,,,[WinError 10061] No connection could be made because the target machine actively refused it
kawaguchi-lib.jp,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
ordretierce-vip.com,FALSE,,,,,,,,,,,,[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1010)
kasumichan.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,www.kasumichan.com,R13,sha256WithRSAEncryption,RSA,2048,10/10/2025,1/8/2026,90,unknown,
estima.ru,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,*.estima.ru,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption,RSA,2048,2/14/2025,3/18/2026,397,unknown,
arcdn.net,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,arcdn.net,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/9/2025,1/7/2026,90,unknown,
traditio.wiki,TRUE,TLSv1.2,ECDHE-ECDSA-AES128-GCM-SHA256,traditio.wiki,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,11/5/2025,2/3/2026,90,unknown,
attstadium.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,attstadium.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption,RSA,4096,4/15/2025,4/23/2026,373,unknown,
skivefolkeblad.dk,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,skivefolkeblad.dk,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/5/2025,1/4/2026,91,unknown,
alzura.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,*.alzura.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption,RSA,2048,11/3/2025,12/4/2026,396,unknown,
colfondos.com.co,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,colfondos.com.co,Go Daddy Secure Certificate Authority - G2,sha256WithRSAEncryption,RSA,2048,10/23/2025,10/23/2026,365,unknown,
656m.cn,FALSE,,,,,,,,,,,,[WinError 10061] No connection could be made because the target machine actively refused it
islam360.app,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,islam360.app,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,10/11/2025,1/9/2026,90,unknown,
fluent.ltd.uk,TRUE,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,www.fluent.ltd.uk,R12,sha256WithRSAEncryption,RSA,2048,9/1/2025,11/30/2025,90,unknown,
clearimaging12.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,Plesk,Plesk,sha256WithRSAEncryption,RSA,2048,9/21/2021,9/21/2022,365,unknown,
abimagecdn.com,FALSE,,,,,,,,,,,,[Errno 11001] getaddrinfo failed
xsportshd.com,TRUE,TLSv1.3,TLS_AES_256_GCM_SHA384,xsportshd.com,WE1,ecdsa-with-SHA256,ECDSA,secp256r1,9/27/2025,12/26/2025,90,unknown,
ynrjw.cn,FALSE,,,,,,,,,,,,[WinError 10061] No connection could be made because the target machine actively refused it
ng112.gov.tr,FALSE,,,,,,,,,,,,timed out
chipotleiq.com,TRUE,TLSv1.3,TLS_AES_128_GCM_SHA256,chipotleiq.com,Amazon RSA 2048 M02,sha256WithRSAEncryption,RSA,2048,8/25/2025,9/23/2026,394,unknown,
